Mã module;Quản lý người dùng - Phân tích giá trị biên (User Management - Standard BVA);;;;;;;;Chưa kiểm thử
Yêu cầu kiểm thử;"Kiểm tra các trường nhập liệu trong 2 form: (A) Form tạo System Admin và (B) Form đổi mật khẩu admin (SRT-12) theo phương pháp Standard BVA + Robustness BVA. (A) Form tạo admin: n=2 biến, Standard 4n+1=9 TC + Robustness 4 TC = 13 TC. Biến: Họ và tên [min=1, max=50]; Mật khẩu [min=6, max=50]. (B) Form đổi mật khẩu: n=1 biến, Standard 4n+1=5 TC + Robustness 2 TC = 7 TC. Biến: Mật khẩu mới [min=6, max=50]. Tổng: 20 TC. Lưu ý: SRT-9 (khóa/mở khóa = boolean toggle) và SRT-31 (lọc chi nhánh = Select dropdown) không có biến số — không áp dụng BVA.";;;;;;;;;Không đạt
Người kiểm thử;Nhóm SQA
Đạt;Không đạt;Chưa kiểm thử;Không áp dụng;Số lượng test case;;;;;Chưa kiểm thử
0;0;20;0;20;;;;;Không áp dụng
ID;Mô tả test case;Các bước thực hiện;Kết quả mong đợi;Phụ thuộc test case;Kết quả;Kỹ thuật kiểm thử;Ghi chú
;Bảng giá trị biên: Họ và tên [min=1 | min+=2 | nom=25 | max-=49 | max=50] | Mật khẩu [min=6 | min+=7 | nom=28 | max-=49 | max=50]
;--- Test case Nominal (1 TC) ---
[BVA-USER-01];"[Nominal] Tạo System Admin với tất cả giá trị danh nghĩa
(Họ tên=25 ký tự, Mật khẩu=28 ký tự)";"1. Đăng nhập với quyền System Admin.
2. Điều hướng đến '/sysadmin/users'.
3. Click 'Thêm Admin'.
4. Nhập Email: user_bva01@s2o.test (duy nhất).
5. Nhập Họ và tên: 'Admin BVA User Test Name1' (25 ký tự).
6. Nhập Mật khẩu: 'Abc@123456789012345678901234' (28 ký tự).
7. Click 'Tạo tài khoản'.
8. Chờ tối đa 10 giây.";"1. Thông báo 'Tạo tài khoản thành công' được hiển thị.
2. Tài khoản 'Admin BVA User Test Name1' xuất hiện trong bảng người dùng.";[USER-01];Chưa kiểm thử;"Standard BVA - Nominal";"Nominal: Họ tên = 25 ký tự, Mật khẩu = 28 ký tự. Ràng buộc từ ASP.NET Identity backend."
;--- Biến 1: Họ và tên — giữ Mật khẩu = nom (28 ký tự) (4 TC) ---
[BVA-USER-02];"[Họ tên - Min=1] Tạo System Admin với Họ và tên = 1 ký tự (giá trị tối thiểu)";"1. Đăng nhập với quyền System Admin.
2. Điều hướng đến '/sysadmin/users'.
3. Click 'Thêm Admin'.
4. Nhập Email: user_bva02@s2o.test (duy nhất).
5. Nhập Họ và tên: 'A' (1 ký tự).
6. Nhập Mật khẩu: 'Abc@123456789012345678901234' (28 ký tự - nom).
7. Click 'Tạo tài khoản'.
8. Chờ tối đa 10 giây.";"1. Thông báo 'Tạo tài khoản thành công' được hiển thị.
2. Tài khoản 'A' xuất hiện trong bảng người dùng.";[USER-01];Chưa kiểm thử;"Standard BVA - Min";"Họ tên = 1 ký tự (min)"
[BVA-USER-03];"[Họ tên - Min+=2] Tạo System Admin với Họ và tên = 2 ký tự (ngay trên giá trị tối thiểu)";"1. Đăng nhập với quyền System Admin.
2. Điều hướng đến '/sysadmin/users'.
3. Click 'Thêm Admin'.
4. Nhập Email: user_bva03@s2o.test (duy nhất).
5. Nhập Họ và tên: 'AB' (2 ký tự).
6. Nhập Mật khẩu: 'Abc@123456789012345678901234' (28 ký tự - nom).
7. Click 'Tạo tài khoản'.
8. Chờ tối đa 10 giây.";"1. Thông báo 'Tạo tài khoản thành công' được hiển thị.
2. Tài khoản 'AB' xuất hiện trong bảng người dùng.";[USER-01];Chưa kiểm thử;"Standard BVA - Min+";"Họ tên = 2 ký tự (min+)"
[BVA-USER-04];"[Họ tên - Max-=49] Tạo System Admin với Họ và tên = 49 ký tự (ngay dưới giá trị tối đa)";"1. Đăng nhập với quyền System Admin.
2. Điều hướng đến '/sysadmin/users'.
3. Click 'Thêm Admin'.
4. Nhập Email: user_bva04@s2o.test (duy nhất).
5. Nhập Họ và tên: 'Nguyen Van A BVA Test Name Maximum Minus One 49xx' (49 ký tự).
6. Nhập Mật khẩu: 'Abc@123456789012345678901234' (28 ký tự - nom).
7. Click 'Tạo tài khoản'.
8. Chờ tối đa 10 giây.";"1. Thông báo 'Tạo tài khoản thành công' được hiển thị.
2. Tài khoản tương ứng xuất hiện trong bảng người dùng.";[USER-01];Chưa kiểm thử;"Standard BVA - Max-";"Họ tên = 49 ký tự (max-). Chuỗi mẫu: 'Nguyen Van A BVA Test Name Maximum Minus One 49xx' = 49 ký tự"
[BVA-USER-05];"[Họ tên - Max=50] Tạo System Admin với Họ và tên = 50 ký tự (giá trị tối đa)";"1. Đăng nhập với quyền System Admin.
2. Điều hướng đến '/sysadmin/users'.
3. Click 'Thêm Admin'.
4. Nhập Email: user_bva05@s2o.test (duy nhất).
5. Nhập Họ và tên: 'Nguyen Van A BVA Test Name Maximum Minus One 49xxx' (50 ký tự).
6. Nhập Mật khẩu: 'Abc@123456789012345678901234' (28 ký tự - nom).
7. Click 'Tạo tài khoản'.
8. Chờ tối đa 10 giây.";"1. Thông báo 'Tạo tài khoản thành công' được hiển thị.
2. Tài khoản tương ứng xuất hiện trong bảng người dùng.";[USER-01];Chưa kiểm thử;"Standard BVA - Max";"Họ tên = 50 ký tự (max). Chuỗi mẫu: 'Nguyen Van A BVA Test Name Maximum Minus One 49xxx' = 50 ký tự"
;--- Biến 2: Mật khẩu — giữ Họ tên = nom (25 ký tự) (4 TC) ---
[BVA-USER-06];"[Mật khẩu - Min=6] Tạo System Admin với Mật khẩu = 6 ký tự (giá trị tối thiểu)";"1. Đăng nhập với quyền System Admin.
2. Điều hướng đến '/sysadmin/users'.
3. Click 'Thêm Admin'.
4. Nhập Email: user_bva06@s2o.test (duy nhất).
5. Nhập Họ và tên: 'Admin BVA User Test Name1' (25 ký tự - nom).
6. Nhập Mật khẩu: 'Abc@12' (6 ký tự).
7. Click 'Tạo tài khoản'.
8. Chờ tối đa 10 giây.";"1. Thông báo 'Tạo tài khoản thành công' được hiển thị.
2. Tài khoản tương ứng xuất hiện trong bảng người dùng.";[USER-01];Chưa kiểm thử;"Standard BVA - Min";"Mật khẩu = 6 ký tự (min). Ràng buộc ASP.NET Identity: RequiredLength = 6"
