Mã module;Quản lý nhà hàng (Restaurants Management);;;;;;;;Đạt
Yêu cầu kiểm thử;"Xác minh quyền System Admin có thể xem danh sách nhà hàng và thực hiện đầy đủ vòng đời nhà hàng: đăng ký, khóa, mở khóa và xóa nhà hàng.";;;;;;;;;Không đạt
Người kiểm thử;Nhóm SQA
Đạt;Không đạt;Chưa kiểm thử;Không áp dụng;Số lượng test case;;;;;Chưa kiểm thử
5;0;7;0;12;;;;;Không áp dụng
ID;Mô tả test case;Các bước thực hiện;Kết quả mong đợi;Phụ thuộc test case;Kết quả;Kỹ thuật kiểm thử;Ghi chú
;Chức năng: Kiểm tra khởi tạo giao diện
[REST-01];System Admin có thể truy cập trang quản lý nhà hàng;"1. Điều hướng đến '/login'.
2. Nhập Email: admin@s2o.com, Mật khẩu: Admin@123.
3. Click 'Đăng nhập'.
4. Chờ chuyển hướng đến '/dashboard'.
5. Điều hướng đến '/sysadmin/restaurants'.
6. Chờ tối đa 10 giây.";"1. URL là '/sysadmin/restaurants'.
2. Một phần tử <table> hiển thị danh sách nhà hàng trên trang.";;Đạt;"Kiểm tra giao diện/Smoke,Kiểm tra điều hướng";Yêu cầu quyền System Admin
;Chức năng: Kiểm tra dữ liệu form
[REST-02];Đăng ký mới một nhà hàng;"1. Đăng nhập với quyền System Admin (xem [REST-01]).
2. Điều hướng đến '/sysadmin/restaurants'.
3. Click nút 'Đăng ký' / 'Thêm nhà hàng'.
4. Điền: Tên nhà hàng (duy nhất), Tên chủ quán, Email (duy nhất), Mật khẩu, Địa chỉ, Số điện thoại.
5. Gửi form đăng ký.";"1. Thông báo thành công được hiển thị.
2. Nhà hàng mới xuất hiện trong bảng danh sách nhà hàng.";[REST-01];Đạt;"Luồng thành công,Phân vùng tương đương";Email phải là duy nhất
;Chức năng: Thực hiện vòng đời nhà hàng
[REST-03];Khóa một nhà hàng đang hoạt động;"1. Đăng nhập với quyền System Admin (xem [REST-01]).
2. Điều hướng đến '/sysadmin/restaurants'.
3. Tìm nhà hàng cần khóa trong bảng.
4. Click hành động 'Khóa' của nhà hàng đó.
5. Xác nhận hành động nếu hộp thoại xác nhận xuất hiện.";"1. Thông báo thành công được hiển thị.
2. Trạng thái hàng nhà hàng thay đổi thành 'Đã khóa'.
3. Owner không thể đăng nhập bằng tài khoản nhà hàng đó.";[REST-02];Đạt;"Luồng thành công,Chuyển đổi trạng thái";Nhà hàng phải đang ở trạng thái hoạt động
[REST-04];Mở khóa một nhà hàng đang bị khóa;"1. Đăng nhập với quyền System Admin (xem [REST-01]).
2. Điều hướng đến '/sysadmin/restaurants'.
3. Tìm nhà hàng đang bị khóa trong bảng.
4. Click hành động 'Mở khóa' của nhà hàng đó.
5. Xác nhận hành động nếu hộp thoại xác nhận xuất hiện.";"1. Thông báo thành công được hiển thị.
2. Trạng thái hàng nhà hàng trở lại hoạt động.
3. Owner có thể đăng nhập lại bằng tài khoản nhà hàng đó.";[REST-03];Đạt;"Luồng thành công,Chuyển đổi trạng thái";Nhà hàng phải đang ở trạng thái bị khóa
[REST-05];Xóa một nhà hàng;"1. Đăng nhập với quyền System Admin (xem [REST-01]).
2. Điều hướng đến '/sysadmin/restaurants'.
3. Tìm nhà hàng cần xóa trong bảng.
4. Click hành động 'Xóa' của nhà hàng đó.
5. Xác nhận xóa trong hộp thoại xác nhận.";"1. Thông báo thành công được hiển thị.
2. Nhà hàng đã xóa không còn xuất hiện trong bảng danh sách nhà hàng.";[REST-02];Đạt;"Luồng thành công,Chuyển đổi trạng thái";Dữ liệu nhà hàng bị xóa vĩnh viễn

;Bổ sung test case BVA đã viết
