Mã module;Quản lý người dùng (User Management);;;;;;;;Đạt
Yêu cầu kiểm thử;"Xác minh quyền System Admin có thể xem danh sách người dùng và thực hiện đầy đủ vòng đời tài khoản admin: tạo mới, xem lại hành động, đổi mật khẩu (SRT-12), khóa/mở khóa tài khoản (SRT-9) và xóa tài khoản System Admin.";;;;;;;;;Không đạt
Người kiểm thử;Nhóm SQA
Đạt;Không đạt;Chưa kiểm thử;Không áp dụng;Số lượng test case;;;;;Chưa kiểm thử
7;0;20;0;27;;;;;Không áp dụng
ID;Mô tả test case;Các bước thực hiện;Kết quả mong đợi;Phụ thuộc test case;Kết quả;Kỹ thuật kiểm thử;Ghi chú
;Chức năng: Kiểm tra khởi tạo giao diện
[USER-01];System Admin có thể truy cập trang quản lý người dùng;"1. Điều hướng đến '/login'.
2. Nhập Email: admin@s2o.com, Mật khẩu: Admin@123.
3. Click 'Đăng nhập'.
4. Chờ chuyển hướng đến '/dashboard'.
5. Điều hướng đến '/sysadmin/users'.
6. Chờ tối đa 10 giây.";"1. URL là '/sysadmin/users'.
2. Một phần tử <table> hiển thị danh sách tài khoản người dùng trên trang.";;Đạt;"Kiểm tra giao diện/Smoke,Kiểm tra điều hướng";Yêu cầu quyền System Admin
;Chức năng: Kiểm tra dữ liệu form
[USER-02];Tạo mới tài khoản System Admin;"1. Đăng nhập với quyền System Admin (xem [USER-01]).
2. Điều hướng đến '/sysadmin/users'.
3. Click nút 'Thêm' / 'Tạo Admin'.
4. Điền: Email (duy nhất, vd: sysadmin_test@s2o.com), Họ và tên, Mật khẩu (Admin@Test123).
5. Gửi form tạo mới.";"1. Thông báo thành công được hiển thị.
2. Tài khoản admin mới xuất hiện trong bảng người dùng với email và họ tên đã nhập.";[USER-01];Đạt;"Luồng thành công,Phân vùng tương đương";Email phải là duy nhất trong mỗi lần chạy
;Chức năng: Thực hiện vòng đời tài khoản admin
[USER-03];Xem lại thông tin và hành động của tài khoản admin đã tạo;"1. Đăng nhập với quyền System Admin (xem [USER-01]).
2. Điều hướng đến '/sysadmin/users'.
3. Tìm tài khoản admin cần xem trong bảng.
4. Click vào hàng tài khoản hoặc liên kết hành động 'Chi tiết'.
5. Quan sát màn hình chi tiết tài khoản.";"1. Màn hình chi tiết hoặc modal tài khoản mở ra.
2. Email, họ tên và thông tin quyền của tài khoản hiển thị đúng.
3. Các hành động kiểm duyệt liên quan đến tài khoản hiển thị.";[USER-02];Đạt;"Luồng thành công,Chuyển đổi trạng thái";Phải có tài khoản admin đã được tạo
[USER-04];Xóa tài khoản admin;"1. Đăng nhập với quyền System Admin (xem [USER-01]).
2. Điều hướng đến '/sysadmin/users'.
3. Tìm tài khoản admin cần xóa trong bảng.
4. Click hành động 'Xóa' của tài khoản đó.
5. Xác nhận xóa trong hộp thoại xác nhận.";"1. Thông báo thành công được hiển thị.
2. Tài khoản admin đã xóa không còn xuất hiện trong bảng người dùng.";[USER-02];Đạt;"Luồng thành công,Chuyển đổi trạng thái";Tài khoản phải tồn tại và không phải tài khoản đang đăng nhập
;Chức năng: Quản lý mật khẩu và trạng thái tài khoản (SRT-9, SRT-12)
[USER-05];Đổi mật khẩu tài khoản admin (SRT-12);"1. Đăng nhập với quyền System Admin (xem [USER-01]).
2. Điều hướng đến '/sysadmin/users'.
3. Tìm tài khoản admin vừa tạo trong bảng (dùng ô tìm kiếm nếu cần).
4. Click hành động 'Đổi mật khẩu' (menu item đầu tiên, index 0) của tài khoản.
5. Nhập mật khẩu mới hợp lệ (vd: NewPass@456) vào dialog.
6. Click 'Xác nhận'.";"1. Thông báo thành công được hiển thị.
2. Dialog đóng lại.
3. Tài khoản vẫn xuất hiện trong bảng (không bị xóa).";[USER-02];Đạt;"Luồng thành công,Chuyển đổi trạng thái";Mật khẩu mới phải đáp ứng ràng buộc ASP.NET Identity (tối thiểu 6 ký tự)
[USER-06];Khóa tài khoản admin (SRT-9);"1. Đăng nhập với quyền System Admin (xem [USER-01]).
2. Điều hướng đến '/sysadmin/users'.
3. Tìm tài khoản admin vừa tạo trong bảng.
4. Click hành động 'Khóa' (menu item thứ hai, index 1) của tài khoản.
5. Xác nhận trong hộp thoại popup.";"1. Thông báo thành công được hiển thị.
2. Trạng thái tài khoản trong bảng chuyển sang 'Locked'.";[USER-02];Đạt;"Luồng thành công,Chuyển đổi trạng thái";Tài khoản phải đang ở trạng thái Active trước khi khóa
[USER-07];Mở khóa tài khoản admin đã bị khóa (SRT-9);"1. Đăng nhập với quyền System Admin (xem [USER-01]).
2. Điều hướng đến '/sysadmin/users'.
3. Tìm tài khoản admin đang bị khóa trong bảng.
4. Click hành động 'Mở khóa' (menu item thứ hai, index 1 — cùng vị trí với Khóa nhưng đổi nhãn) của tài khoản.
5. Xác nhận trong hộp thoại popup.";"1. Thông báo thành công được hiển thị.
2. Trạng thái tài khoản trong bảng chuyển về 'Active'.";[USER-06];Đạt;"Luồng thành công,Chuyển đổi trạng thái";Tài khoản phải đang ở trạng thái Locked trước khi mở khóa

;Bổ sung test case BVA đã viết
;Bảng giá trị biên: Họ và tên [min=1 | min+=2 | nom=25 | max-=49 | max=50] | Mật khẩu [min=6 | min+=7 | nom=28 | max-=49 | max=50]
;--- Test case Nominal (1 TC) ---
[BVA-USER-01];"[Nominal] Tạo System Admin với tất cả giá trị danh nghĩa
(Họ tên=25 ký tự, Mật khẩu=28 ký tự)";"1. Đăng nhập với quyền System Admin.
2. Điều hướng đến '/sysadmin/users'.
3. Click 'Thêm Admin'.
4. Nhập Email: user_bva01@s2o.test (duy nhất).
5. Nhập Họ và tên: 'Admin BVA User Test Name1' (25 ký tự).
6. Nhập Mật khẩu: 'Abc@123456789012345678901234' (28 ký tự).
7. Click 'Tạo tài khoản'.
8. Chờ tối đa 10 giây.";"1. Thông báo 'Tạo tài khoản thành công' được hiển thị.
2. Tài khoản 'Admin BVA User Test Name1' xuất hiện trong bảng người dùng.";[USER-01];Chưa kiểm thử;"Standard BVA - Nominal";"Nominal: Họ tên = 25 ký tự, Mật khẩu = 28 ký tự. Ràng buộc từ ASP.NET Identity backend."
;--- Biến 1: Họ và tên — giữ Mật khẩu = nom (28 ký tự) (4 TC) ---
[BVA-USER-02];"[Họ tên - Min=1] Tạo System Admin với Họ và tên = 1 ký tự (giá trị tối thiểu)";"1. Đăng nhập với quyền System Admin.
2. Điều hướng đến '/sysadmin/users'.
3. Click 'Thêm Admin'.
4. Nhập Email: user_bva02@s2o.test (duy nhất).
5. Nhập Họ và tên: 'A' (1 ký tự).
6. Nhập Mật khẩu: 'Abc@123456789012345678901234' (28 ký tự - nom).
7. Click 'Tạo tài khoản'.
8. Chờ tối đa 10 giây.";"1. Thông báo 'Tạo tài khoản thành công' được hiển thị.
2. Tài khoản 'A' xuất hiện trong bảng người dùng.";[USER-01];Chưa kiểm thử;"Standard BVA - Min";"Họ tên = 1 ký tự (min)"
